m/z,stddev,PeakHeight,C,H,Neutral H,O,m/z2,stddev2,O/C,H/C,DBE,AI mod,Neutral Mass,KM(CH2),KMD(CH2),KM(COO),KMD(COO),KM(H2O),KMD(H2O),KM(H2),KMD(H2),KM(O),KMD(O),KM(C2H4O),KMD(C2H4O),KM(OCH2),KMD(OCH2),KMD(CH2),KMD(COO),KMD(H2O),KMD(H2),KMD(O),KMD(C2H4O),KMD(OCH2),see comment,Neutral Mass
513.08269,1,10485284,28,17,18,10,513.08272,-0.1,0.357142857,0.642857143,20,0.652173913,514.0899968,513,0.515956,514,0.2088579,513,0.7884404,510,0.0984600,514,0.2534451,513,0.7838896,513,0.9090205,9,6,6,8,10,6,8,1,296.032088
513.067422,1,14868002,24,17,18,13,513.067464,-0.1,0.541666667,0.75,16,0.542857143,514.0747407,513,0.500717,514,0.1935983,513,0.7731933,510,0.0833223,514,0.2381841,513,0.7686425,513,0.8937697,9,6,6,7,11,5,9,1,296.0532174
505.11402,1,27548074,27,21,22,10,505.11402,0,0.37037037,0.814814815,17,0.545454545,506.1212969,505,0.556155,506,0.2383157,505,0.8244149,502,0.1916313,506,0.2822117,505,0.8199345,505,0.9431259,11,6,5,8,11,4,8,1,296.0684735
495.056892,1,21103356,24,15,16,12,495.0569,0,0.5,0.666666667,17,0.611111111,496.064176,495,0.510264,496,0.1788694,495,0.7731933,492,0.2125966,496,0.2218932,495,0.7688019,495,0.8895453,10,5,6,7,11,5,9,1,296.0896029
475.103468,1,23692294,26,19,20,9,475.103456,0,0.346153846,0.769230769,17,0.581395349,476.1107322,475,0.5791,476,0.2208123,475,0.8314539,472,0.4140769,476,0.2621055,475,0.8272392,475,0.9431259,10,7,5,7,11,5,8,1,296.104859
465.08268,1,51035277,24,17,18,10,465.08272,-0.1,0.416666667,0.75,16,0.578947368,466.0899968,465,0.569554,466,0.19776,465,0.8165964,462,0.4711452,466,0.2381841,465,0.8124704,465,0.925918,10,5,6,7,11,5,9,1,298.0113525
451.067043,1,56996669,23,15,16,10,451.06707,-0.1,0.434782609,0.695652174,16,0.611111111,452.0743467,451,0.569554,452,0.1788694,451,0.8091677,448,0.5643166,452,0.2180779,451,0.8051658,451,0.9152019,10,5,6,6,11,6,9,1,298.0324819
449.087827,1,49050130,24,17,18,9,449.087806,0,0.375,0.75,16,0.58974359,450.0950822,449,0.592499,450,0.1991473,449,0.8310641,446,0.6004195,450,0.2381841,449,0.8270798,449,0.9366341,10,7,5,6,11,5,9,1,298.0477381
419.077225,1,26133476,23,15,16,8,419.077241,0,0.347826087,0.695652174,16,0.631578947,420.0845175,419,0.615445,420,0.1816439,419,0.8381031,416,0.8228652,420,0.2180779,419,0.8343844,419,0.9366341,9,6,5,8,11,5,9,1,298.0688674
651.099236,1,4477173,31,23,24,16,651.099158,0.1,0.516129032,0.774193548,20,0.52173913,652.1064347,651,0.378283,652,0.2572062,651,0.7239203,647,0.0433001,652,0.3137635,651,0.7181477,651,0.8768722,9,6,6,6,10,5,10,1,298.0841236
