Index,m/z,stddev,PeakHeight,C,H,Neutral H,O,m/z2,stddev2,O/C,H/C,DBE,AI mod,Neutral Mass,KM(CH2),KMD(CH2),KM(COO),KMD(COO),KM(H2O),KMD(H2O),KM(H2),KMD(H2),KM(O),KMD(O),KM(C2H4O),KMD(C2H4O),KM(OCH2),KMD(OCH2),KMD(CH2),KMD(COO),KMD(H2O),KMD(H2),KMD(O),KMD(C2H4O),KMD(OCH2),see comment,Neutral Mass
327,307.009588,1,3082486,13,7,8,9,307.009555,0.1,0.692307692,0.615384615,10,0.647058824,308.0168319,307,0.672896,308,0.0880474,307,0.8361545,305,0.6253040,308,0.1147618,307,0.8334278,307,0.9084,9,3,5,6,7,4,7,1,476.1107322
330,307.045959,1,19786491,14,11,12,8,307.045941,0.1,0.571428571,0.857142857,9,0.5,308.0532174,307,0.70924,308,0.1244414,307,0.8725186,305,0.6614070,308,0.1511589,307,0.8697916,307,0.9447726,8,5,5,7,9,4,7,1,466.0899968
332,307.061165,1,2822397,18,11,12,5,307.061197,-0.1,0.277777778,0.666666667,13,0.677419355,308.0684735,307,0.72448,308,0.139701,307,0.8877658,305,0.6765447,308,0.1664199,307,0.8850387,307,0.9600234,6,5,5,4,10,4,8,1,452.0743467
333,307.082328,1,5821184,15,15,16,7,307.082326,0,0.466666667,1.066666667,8,0.391304348,308.0896029,307,0.745585,308,0.1608353,307,0.9088828,305,0.6975100,308,0.187556,307,0.9061555,307,0.9811453,6,6,4,7,9,3,5,1,450.0950822
340,309.025247,1,6537242,13,9,10,9,309.025205,0.1,0.692307692,0.769230769,9,0.529411765,310.0324819,309,0.686295,310,0.1041635,309,0.8506222,307,0.6253040,310,0.1310527,309,0.8478777,309,0.9233404,8,3,5,6,8,5,5,1,420.0845175
342,309.040457,1,5094429,17,9,10,6,309.040462,0,0.352941176,0.588235294,13,0.714285714,310.0477381,309,0.701534,310,0.1194232,309,0.8658694,307,0.6404417,310,0.1463137,309,0.8631247,309,0.9385912,8,4,6,5,9,5,8,1,652.1064347
343,309.061598,1,11951136,14,13,14,8,309.061591,0,0.571428571,1,8,0.4,310.0688674,309,0.72264,310,0.1405575,309,0.8869863,307,0.6614070,310,0.1674498,309,0.8842415,309,0.9597131,8,5,4,7,9,3,6,1,650.1271702
345,309.076908,1,4253218,18,13,14,5,309.076847,0.2,0.277777778,0.777777778,12,0.612903226,310.0841236,309,0.737879,310,0.1558171,309,0.9022335,307,0.6765447,310,0.1827108,309,0.8994886,309,0.9749639,7,6,4,4,11,3,8,1,620.1166055
351,311.004416,1,1413949,12,7,8,10,311.00447,-0.2,0.833333333,0.666666667,9,0.571428571,312.0117465,311,0.663349,312,0.0838857,311,0.8287257,309,0.5892010,312,0.1109466,311,0.8259637,311,0.9019082,8,2,2,4,4,3,4,1,618.1373409
353,311.01978,1,3478335,16,7,8,7,311.019726,0.2,0.4375,0.5,13,0.76,312.0270026,311,0.678589,312,0.0991454,311,0.8439729,309,0.6043387,312,0.1262075,311,0.8412108,311,0.917159,9,4,6,6,6,4,9,1,608.08022
354,311.04092,1,6958402,13,11,12,9,311.040856,0.2,0.692307692,0.923076923,8,0.411764706,312.048132,311,0.699694,312,0.1202796,311,0.8650899,309,0.6253040,312,0.1473436,311,0.8623275,311,0.9382809,7,4,5,6,8,4,5,1,602.1060408
355,311.056152,1,15576389,17,11,12,6,311.056112,0.1,0.352941176,0.705882353,12,0.642857143,312.0633881,311,0.714933,312,0.1355393,311,0.8803371,309,0.6404417,312,0.1626046,311,0.8775746,311,0.9535317,8,6,6,5,11,5,8,1,594.1373409
356,311.077284,1,2257224,14,15,16,8,311.077241,0.1,0.571428571,1.142857143,7,0.3,312.0845175,311,0.736039,312,0.1566736,311,0.9014541,309,0.6614070,312,0.1837407,311,0.8986914,311,0.9746536,5,4,4,7,8,2,4,1,592.1216909
357,311.092514,1,5769546,18,15,16,5,311.092497,0.1,0.277777778,0.888888889,11,0.548387097,312.0997736,311,0.751278,312,0.1719332,311,0.9167012,309,0.6765447,312,0.1990017,311,0.9139384,311,0.9899044,5,7,5,4,11,3,6,1,590.0696553
361,312.9989,1,1138533,15,5,6,8,312.998991,-0.3,0.533333333,0.4,13,0.818181818,314.0062672,313,0.655643,314,0.0788676,313,0.8220765,311,0.5682357,314,0.1061014,313,0.8192968,313,0.8957268,11,1,6,7,4,6,9,1,586.1111262
362,313.020107,1,2538088,12,9,10,10,313.02012,0,0.833333333,0.833333333,8,0.428571429,314.0273965,313,0.676749,314,0.1000018,313,0.8431934,311,0.5892010,314,0.1272375,313,0.8404136,313,0.9168487,6,3,4,4,6,3,5,1,582.1009554
365,313.056537,1,5854829,13,13,14,9,313.056506,0.1,0.692307692,1.076923077,7,0.294117647,314.063782,313,0.713094,314,0.1363957,313,0.8795576,311,0.6253040,314,0.1636345,313,0.8767774,313,0.9532214,5,4,5,6,7,3,5,1,580.1216909
